线号,行别,里程,日期,垂加,垂加等级,水加,水加等级,数据等级,车速,车型,车号,车次,设备ID,垂加_abs,水加_abs,max_acc,公里区间,50米网格里程,等级冲突标记
1001,单线,1051.632,2024-01-01 00:00:00,0.07,1,0.05,0,1,67,101,1257,K856,101_1257,0.07,0.05,0.07,1051,1051.65,0
1001,单线,1051.56,2024-01-01 00:00:00,0.08,1,0.03,0,1,67,101,1257,K856,101_1257,0.08,0.03,0.08,1051,1051.55,0
1001,单线,1051.924,2024-01-01 00:00:00,0.1,2,0.02,0,2,67,101,1257,K856,101_1257,0.1,0.02,0.1,1051,1051.9,0
1001,单线,1052.246,2024-01-01 00:00:00,0.07,1,0.03,0,1,67,101,1257,K856,101_1257,0.07,0.03,0.07,1052,1052.25,0
1001,单线,1051.415,2024-01-01 00:01:00,0.07,1,0.04,0,1,67,101,1257,K856,101_1257,0.07,0.04,0.07,1051,1051.4,0
1001,单线,1050.77,2024-01-01 00:01:00,0.07,1,0.04,0,1,71,101,1257,K856,101_1257,0.07,0.04,0.07,1050,1050.75,0
1001,单线,1049.868,2024-01-01 00:02:00,0.07,1,0.05,0,1,78,101,1257,K856,101_1257,0.07,0.05,0.07,1049,1049.85,0
1001,单线,1048.252,2024-01-01 00:03:00,0.09,1,0.07,1,1,87,101,1257,K856,101_1257,0.09,0.07,0.09,1048,1048.25,0
1001,单线,1048.792,2024-01-01 00:03:00,0.07,1,0.05,0,1,84,101,1257,K856,101_1257,0.07,0.05,0.07,1048,1048.8,0
1001,单线,1047.275,2024-01-01 00:04:00,0.07,1,0.05,0,1,92,101,1257,K856,101_1257,0.07,0.05,0.07,1047,1047.3,0
1001,单线,1046.364,2024-01-01 00:04:00,0.07,1,0.03,0,1,95,101,1257,K856,101_1257,0.07,0.03,0.07,1046,1046.35,0
1001,单线,1046.239,2024-01-01 00:04:00,0.07,1,0.03,0,1,96,101,1257,K856,101_1257,0.07,0.03,0.07,1046,1046.25,0
1001,单线,1047.343,2024-01-01 00:04:00,0.08,1,0.08,1,1,91,101,1257,K856,101_1257,0.08,0.08,0.08,1047,1047.35,0
1001,单线,1045.796,2024-01-01 00:05:00,0.05,0,0.1,1,1,98,101,1257,K856,101_1257,0.05,0.1,0.1,1045,1045.8,0
1001,单线,1044.549,2024-01-01 00:05:00,0.07,1,0.06,0,1,102,101,1257,K856,101_1257,0.07,0.06,0.07,1044,1044.55,0
1001,单线,1042.537,2024-01-01 00:06:00,0.07,1,0.04,0,1,108,101,1257,K856,101_1257,0.07,0.04,0.07,1042,1042.55,0
1001,单线,1042.866,2024-01-01 00:06:00,0.07,1,0.03,0,1,107,101,1257,K856,101_1257,0.07,0.03,0.07,1042,1042.85,0
1001,单线,1041.172,2024-01-01 00:07:00,0.07,1,0.04,0,1,112,101,1257,K856,101_1257,0.07,0.04,0.07,1041,1041.15,0
1001,单线,1036.272,2024-01-01 00:12:00,0.04,0,0.02,0,0,64,101,1257,K856,101_1257,0.04,0.02,0.04,1036,1036.25,0
1001,单线,1034.324,2024-01-01 00:14:00,0.08,1,0.04,0,1,64,101,1257,K856,101_1257,0.08,0.04,0.08,1034,1034.3,0
1001,单线,1034.359,2024-01-01 00:14:00,0.07,1,0.02,0,1,63,101,1257,K856,101_1257,0.07,0.02,0.07,1034,1034.35,0
1001,单线,1030.314,2024-01-01 00:25:00,0.07,1,0.05,0,1,63,101,1257,K856,101_1257,0.07,0.05,0.07,1030,1030.3,0
1001,单线,1029.604,2024-01-01 00:25:00,0.08,1,0.04,0,1,75,101,1257,K856,101_1257,0.08,0.04,0.08,1029,1029.6,0
1001,单线,1030.137,2024-01-01 00:25:00,0.09,1,0.04,0,1,66,101,1257,K856,101_1257,0.09,0.04,0.09,1030,1030.15,0
1001,单线,1029.573,2024-01-01 00:25:00,0.07,1,0.03,0,1,75,101,1257,K856,101_1257,0.07,0.03,0.07,1029,1029.55,0
1001,单线,1026.677,2024-01-01 00:27:00,0.08,1,0.06,0,1,99,101,1257,K856,101_1257,0.08,0.06,0.08,1026,1026.7,0
1001,单线,1026.916,2024-01-01 00:27:00,0.08,1,0.06,0,1,98,101,1257,K856,101_1257,0.08,0.06,0.08,1026,1026.9,0
1001,单线,1024.868,2024-01-01 00:28:00,0.07,1,0.03,0,1,104,101,1257,K856,101_1257,0.07,0.03,0.07,1024,1024.85,0
1001,单线,1024.806,2024-01-01 00:28:00,0.07,1,0.03,0,1,105,101,1257,K856,101_1257,0.07,0.03,0.07,1024,1024.8,0
1001,单线,1023.156,2024-01-01 00:29:00,0.07,1,0.02,0,1,110,101,1257,K856,101_1257,0.07,0.02,0.07,1023,1023.15,0
1001,单线,1023.796,2024-01-01 00:29:00,0.07,1,0.03,0,1,108,101,1257,K856,101_1257,0.07,0.03,0.07,1023,1023.8,0
1001,单线,1021.218,2024-01-01 00:30:00,0.07,1,0.05,0,1,115,101,1257,K856,101_1257,0.07,0.05,0.07,1021,1021.2,0
1001,单线,1021.926,2024-01-01 00:30:00,0.07,1,0.04,0,1,114,101,1257,K856,101_1257,0.07,0.04,0.07,1021,1021.95,0
1001,单线,1021.052,2024-01-01 00:30:00,0.07,1,0.03,0,1,115,101,1257,K856,101_1257,0.07,0.03,0.07,1021,1021.05,0
1001,单线,1021.989,2024-01-01 00:30:00,0.08,1,0.04,0,1,114,101,1257,K856,101_1257,0.08,0.04,0.08,1021,1022.0,0
1001,单线,1021.768,2024-01-01 00:30:00,0.08,1,0.05,0,1,114,101,1257,K856,101_1257,0.08,0.05,0.08,1021,1021.75,0
