线号,行别,里程,日期,垂加,垂加等级,水加,水加等级,数据等级,车速,车型,车号,车次
2001,单线,2023.654,2024-01-01 10:35:00,0.05,1,0.03,1,1,99,101,1361,7642
2001,单线,2032.982,2024-01-01 10:40:00,0.04,1,0.02,0,1,109,101,1361,7642
2001,单线,2049.073,2024-01-01 10:50:00,0.04,1,0.02,0,1,88,101,1361,7642
2001,单线,2074.647,2024-01-01 11:22:00,0.05,1,0.03,1,1,109,101,1361,7642
2001,单线,2084.887,2024-01-01 14:32:00,0.04,1,0.02,0,1,97,101,1361,7641
2001,单线,2083.509,2024-01-01 14:32:00,0.05,1,0.04,1,1,101,101,1361,7641
2001,单线,2080.56,2024-01-01 14:34:00,0.04,1,0.02,0,1,103,101,1361,7641
2001,单线,2073.128,2024-01-01 14:38:00,0.04,1,0.03,1,1,107,101,1361,7641
2001,单线,2057.641,2024-01-01 14:47:00,0.04,1,0.02,0,1,69,101,1361,7641
2001,单线,2045.484,2024-01-01 15:04:00,0.04,1,0.02,0,1,109,101,1361,7641
2001,单线,2000.692,2024-01-01 21:17:00,0.06,1,0.05,1,1,75,102,1502,83852
2001,单线,2006.373,2024-01-01 21:22:00,0.06,1,0.06,1,1,68,102,1502,83852
2001,单线,2007.96,2024-01-01 21:23:00,0.06,1,0.06,1,1,65,102,1502,83852
2001,单线,2018.278,2024-01-01 21:32:00,0.06,1,0.05,1,1,74,102,1502,83852
2001,单线,2024.998,2024-01-01 21:39:00,0.07,1,0.06,1,1,65,102,1502,83852
2001,单线,2030.336,2024-01-01 21:44:00,0.07,1,0.06,1,1,55,102,1502,83852
2001,单线,2035.767,2024-01-01 21:50:00,0.06,1,0.06,1,1,67,102,1502,83852
2001,单线,2041.183,2024-01-01 21:55:00,0.07,1,0.06,1,1,57,102,1502,83852
2001,单线,2046.919,2024-01-01 22:00:00,0.08,1,0.06,1,1,69,102,1502,83852
2001,单线,2050.678,2024-01-01 22:04:00,0.07,1,0.07,1,1,58,102,1502,83852
2001,单线,2060.043,2024-01-01 22:13:00,0.09,1,0.06,1,1,74,102,1502,83852
2001,单线,2065.822,2024-01-01 22:19:00,0.08,1,0.07,1,1,59,102,1502,83852
2001,单线,2070.605,2024-01-01 22:24:00,0.09,1,0.07,1,1,54,102,1502,83852
2001,单线,2075.31,2024-01-01 22:29:00,0.08,1,0.06,1,1,53,102,1502,83852
2001,单线,2079.463,2024-01-01 22:34:00,0.07,1,0.07,1,1,43,102,1502,83852
2001,单线,2083.05,2024-01-01 22:39:00,0.07,1,0.07,1,1,51,102,1502,83852
