设备ID,n,coverage_days,l3plus_rate,conflict_rate,max_acc_p95,max_acc_std,peer_support_rate,peer_residual_mean,peer_residual_p95,peer_level_disagree_rate,l3plus_cnt,isolated_l3plus_rate,weekly_mean_slope,cluster_label,distance_to_main_cluster,reliability_score,is_noise,is_abnormal_device
101_259,544,2,0.0,0.0,0.09,0.015330546657468289,0.3272058823529412,0.005112359550561797,0.015,0.0898876404494382,0.0,0.0,0.01762104743083004,-1,7.631811031585763,0.0,1,1
101_361,28,3,0.0,0.0,0.12,0.03333928518291801,0.14285714285714285,0.0024999999999999988,0.005000000000000003,0.0,0.0,0.0,0.025,-1,8.486491411066831,0.0,1,1
102_1373,25,3,0.0,0.0,0.06,0.009363047936792091,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.013913043478260868,-1,7.6319310622169,0.0,1,1
102_1367,79,4,0.05063291139240506,0.0,0.16299999999999984,0.04166643946708585,0.0759493670886076,0.006666666666666668,0.015,0.16666666666666666,4.0,1.0,0.008965053763440867,-1,7.652646058686859,0.0,1,1
102_1473,260,17,0.0038461538461538464,0.0,0.07,0.01481215917413999,0.03076923076923077,0.018750000000000003,0.065,0.125,1.0,0.0,0.0004953583300153269,-1,11.103911558083801,0.0,1,1
102_365,15,3,0.0,0.0,0.08599999999999998,0.0192230020944651,0.13333333333333333,0.02,0.020000000000000004,0.0,0.0,0.0,0.008461538461538461,-1,9.261349253844806,0.0,1,1
102_319,12,2,0.0,0.0,0.08,0.0156427928995103,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.016857142857142855,-1,7.566675215655886,0.0,1,1
103_6418,3657,8,0.17774131802023516,0.0,0.22,0.043993288808976745,0.5594749794913864,0.01658357771260997,0.04500000000000001,0.30303030303030304,650.0,0.30923076923076925,0.007549839877672326,-1,13.83912510352954,0.0,1,1
101_1222,424,22,0.009433962264150943,0.18396226415094338,0.15849999999999967,0.04044918737130653,0.0660377358490566,0.014642857142857143,0.033249999999999995,0.25,4.0,1.0,0.007497230943726736,-1,10.414964651866274,0.0,1,1
239_8851,74,3,0.0,0.0,0.09349999999999994,0.011134298484400623,0.13513513513513514,0.0029999999999999983,0.0050000000000000044,0.1,0.0,0.0,0.015633802816901403,-1,7.766512524139032,0.0,1,1
239_8718,458,30,0.12663755458515283,0.0,0.29149999999999976,0.07207151363604358,0.13100436681222707,0.0205,0.1,0.25,58.0,0.7241379310344828,0.0005168904534866527,-1,15.938840638573359,0.0,1,1
237_6526,117,7,0.0,0.0,0.09,0.017818715758991584,0.08547008547008547,0.003999999999999998,0.009999999999999995,0.0,0.0,0.0,0.015368217054263562,-1,7.641148276704482,0.0,1,1
101_220,8,2,0.0,0.0,0.11,0.03044315545875155,0.25,0.03,0.0345,0.0,0.0,0.0,0.03399999999999999,-1,12.214760042680744,0.0,1,1
101_1237,564,13,0.0070921985815602835,0.0,0.12,0.054224436213157805,0.06382978723404255,0.008055555555555555,0.031249999999999997,0.16666666666666666,4.0,1.0,0.06125225527608611,-1,10.686548120407892,0.0,1,1
101_1230,155,3,0.0064516129032258064,0.0,0.14,0.024015251403183484,0.24516129032258063,0.008684210526315789,0.021499999999999988,0.23684210526315788,1.0,0.0,0.01504419191919193,-1,9.201941378162497,0.0,1,1
101_1227,360,24,0.03333333333333333,0.008333333333333333,0.13,0.03857046873575459,0.011111111111111112,0.05750000000000001,0.08000000000000002,0.75,12.0,0.75,0.00048759540728055396,-1,14.236614550319365,0.0,1,1
103_6500,52,3,0.0,0.0,0.07449999999999996,0.010571882797418487,0.15384615384615385,0.0024999999999999988,0.0049999999999999975,0.0,0.0,0.0,0.01276485788113696,-1,7.178155298069989,3.89,1,1
101_357,15,2,0.0,0.0,0.11,0.02725540575476988,0.13333333333333333,0.0049999999999999975,0.005000000000000004,0.0,0.0,0.0,0.011999999999999997,-1,7.070319225229106,5.55,1,1
101_241,198,3,0.0,0.0,0.11,0.013931734150070537,0.43434343434343436,0.012732558139534883,0.03375,0.06976744186046512,0.0,0.0,0.0019563152896486247,-1,6.968050665267252,7.12,1,1
237_8058,90,13,0.0,0.0,0.07,0.011337518504624222,0.022222222222222223,0.015000000000000003,0.015000000000000006,0.0,0.0,0.0,0.0003145021645021645,-1,6.647339937757956,12.06,1,1
101_1202,1222,19,0.028641571194762683,0.027823240589198037,0.13,0.027729940762545736,0.15711947626841244,0.01078125,0.03,0.109375,35.0,0.8,0.0001983780283741727,0,6.382787948218557,16.13,0,1
240_30087,99,4,0.0,0.0,0.0,0.0,0.020202020202020204,0.0,0.0,0.0,0.0,0.0,0.0,-1,5.686086535821774,26.85,1,1
240_30613,51,1,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,-1,5.686086535821774,26.85,1,1
240_30609,43,3,0.0,0.0,0.0,0.0,0.13953488372093023,0.0,0.0,0.0,0.0,0.0,0.0,-1,5.686086535821774,26.85,1,1
240_30048,94,4,0.0,0.0,0.0,0.0,0.06382978723404255,0.0,0.0,0.0,0.0,0.0,0.0,-1,5.686086535821774,26.85,1,1
240_30103,56,2,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,-1,5.686086535821774,26.85,1,1
240_30044,48,2,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,-1,5.686086535821774,26.85,1,1
240_30077,41,3,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,-1,5.686086535821774,26.85,1,1
240_30100,93,3,0.0,0.0,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,-1,5.686086535821774,26.85,1,1
240_30047,126,5,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.0,-1,5.686086535821774,26.85,1,1
240_30179,20,4,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,-1,5.686086535821774,26.85,1,1
240_30408,23,1,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,-1,5.686086535821774,26.85,1,1
237_8070,134,16,0.0,0.0,0.08,0.014588393749311127,0.03731343283582089,0.012,0.026999999999999996,0.0,0.0,0.0,0.0011429094714809004,-1,5.657763391088004,27.29,1,1
101_1210,755,5,0.0013245033112582781,0.0,0.11,0.018388700064324432,0.22781456953642384,0.007034883720930233,0.019999999999999997,0.13372093023255813,1.0,1.0,0.008932117418519313,0,5.603093701936498,28.13,0,0
103_6283,381,30,0.0,0.0,0.1,0.020160908177422755,0.010498687664041995,0.0125,0.015,0.0,0.0,0.0,0.0005050621473582985,-1,5.302737923052405,32.75,1,1
239_919,299,23,0.0,0.0,0.08,0.016451697377899734,0.05016722408026756,0.009333333333333332,0.030000000000000002,0.06666666666666667,0.0,0.0,0.0003527655920589933,0,4.8380388692052865,39.9,0,0
239_8712,67,8,0.014925373134328358,0.0,0.08699999999999995,0.03443673530007664,0.1044776119402985,0.0,0.0,0.0,1.0,1.0,0.0013659125188536971,0,4.717619156642927,41.76,0,0
101_1206,328,17,0.0,0.0,0.12,0.027580496452930984,0.054878048780487805,0.002222222222222221,0.009999999999999995,0.0,0.0,0.0,0.0070220363606549275,0,4.712382778243599,41.84,0,0
102_373,40,2,0.0,0.0,0.08,0.012310095919141393,0.1,0.0025000000000000022,0.0050000000000000044,0.0,0.0,0.0,0.008266666666666665,0,4.609013888889977,43.43,0,0
101_1190,102,6,0.0,0.0,0.09,0.021881282551793772,0.0392156862745098,0.009999999999999998,0.015,0.25,0.0,0.0,0.0029087301587301584,0,4.6090171524574535,43.43,0,0
239_909,172,23,0.005813953488372093,0.0,0.1,0.01629689771978084,0.08139534883720931,0.007857142857142856,0.03,0.14285714285714285,1.0,0.0,0.0012907176157176154,0,4.544328410768343,44.42,0,0
239_6029,73,9,0.0273972602739726,0.0,0.11199999999999975,0.01957112463120833,0.0273972602739726,0.0,0.0,0.0,2.0,1.0,0.004095238095238096,0,4.506131175724451,45.01,0,0
239_916,456,10,0.0043859649122807015,0.0,0.11,0.018726981243363822,0.2675438596491228,0.007131147540983608,0.020000000000000004,0.19672131147540983,2.0,0.5,0.006042107043414889,0,4.500333498823778,45.1,0,0
101_1360,168,5,0.0,0.0,0.1,0.02303435898294864,0.14285714285714285,0.009166666666666667,0.020000000000000004,0.125,0.0,0.0,0.004888927738927738,0,4.452848718875549,45.83,0,0
240_30079,28,2,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0,4.392635061191906,46.76,0,0
240_30078,24,1,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0,4.392635061191906,46.76,0,0
240_30038,5,1,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0,4.392635061191906,46.76,0,0
240_30045,49,1,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0,4.392635061191906,46.76,0,0
240_30664,22,2,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0,4.392635061191906,46.76,0,0
240_30414,38,2,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0,4.392635061191906,46.76,0,0
240_30478,23,2,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0,4.392635061191906,46.76,0,0
240_30041,8,1,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0,4.392635061191906,46.76,0,0
240_30093,85,6,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0,4.392635061191906,46.76,0,0
240_30603,30,3,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0,4.392635061191906,46.76,0,0
102_1332,96,8,0.0,0.0,0.08,0.018775859360808025,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.008397435897435898,0,4.365409572582993,47.18,0,0
102_332,7,2,0.0,0.0,0.06399999999999999,0.011126972805283738,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.008333333333333338,0,4.328782758670754,47.74,0,0
101_1220,68,9,0.0,0.0,0.12,0.031220420592685757,0.10294117647058823,0.005714285714285713,0.015,0.14285714285714285,0.0,0.0,0.005278911564625849,0,4.259353908688925,48.81,0,0
240_671,838,6,0.0,0.0,0.06,0.008612160667023236,0.28878281622911695,0.0034710743801652896,0.010000000000000002,0.0371900826446281,0.0,0.0,0.007923092504658294,0,4.2018244057909255,49.7,0,0
101_1204,253,22,0.0,0.0,0.11,0.022662647311397686,0.007905138339920948,0.0,0.0,0.0,0.0,0.0,0.0007734688870881842,0,4.159631878396391,50.35,0,0
237_6322,179,16,0.0,0.0,0.09,0.017346943598228276,0.0446927374301676,0.008749999999999999,0.02,0.25,0.0,0.0,0.000451788655857184,0,4.140915300308779,50.63,0,0
102_1354,78,7,0.01282051282051282,0.0,0.11149999999999992,0.028395018159477495,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,1.0,1.0,0.0063574251835121385,0,4.1303493461993845,50.8,0,0
240_66,2429,6,0.0,0.0,0.11,0.0034153058870513894,0.5981885549608893,7.5705437026841e-05,0.0,0.0006882312456985547,0.0,0.0,0.0011669314989850924,0,4.094406039128512,51.35,0,0
101_1423,149,5,0.006711409395973154,0.0,0.10599999999999994,0.02277302256762572,0.09395973154362416,0.007857142857142858,0.025000000000000005,0.14285714285714285,1.0,0.0,0.0019945141065830785,0,4.084310084247823,51.51,0,0
