设备ID,n,coverage_days,dominant_vehicle_type,dominant_line,l3plus_rate,conflict_rate,max_acc_p95,max_acc_std,peer_support_rate,peer_residual_mean,peer_residual_p95,peer_level_disagree_rate,peer_signed_residual_mean,l3plus_cnt,isolated_l3plus_rate,vh_ratio_mean,vh_ratio_std,vh_level_gap_rate,weekly_mean_slope,piecewise_mean_gap,rolling_max_slope,cluster_label,distance_to_main_cluster,reliability_score,is_noise,rule_peer_residual_p95,rule_isolated_l3plus_rate,rule_weekly_mean_slope,rule_rolling_max_slope,rule_vh_level_gap_rate,rule_max_acc_std,rule_hit_count,is_abnormal_device,is_low_evidence,device_status
101_220,8,2,101,3001,0.0,0.0,0.11,0.03044315545875155,0.25,0.03,0.0345,0.0,0.03,0.0,0.0,1.921077182472609,0.7951114889300023,0.0,0.03399999999999999,0.03399999999999999,0.0,-1,11.224026122248535,0.0,1,1,0,1,0,0,1,3,0,1,low_evidence
103_1081,166,27,103,4001,0.0,0.0,0.09,0.01915254571334931,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,42531.50106830278,29615.50133486493,0.0,0.00016443407020330075,0.0036109381359381437,0.010437307692307694,-1,11.597561768993229,0.0,1,0,0,0,1,0,0,1,0,1,low_evidence
237_8069,107,12,237,3001,0.0,0.0,0.06699999999999989,0.007376802177674392,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,375.809919236908,3866.75303983385,0.0,0.0011590277777777773,0.0035076388888888935,0.004311111111111111,-1,12.208470920456687,0.0,1,0,0,0,0,0,0,0,0,1,low_evidence
102_365,15,3,102,3001,0.0,0.0,0.08599999999999998,0.0192230020944651,0.13333333333333333,0.02,0.020000000000000004,0.0,3.469446951953614e-18,0.0,0.0,1.2246452420063858,0.6269778380222678,0.0,0.008461538461538461,0.016923076923076923,0.0,-1,8.745110811238144,11.0,1,1,0,1,0,0,0,2,0,1,low_evidence
102_1385,32,1,102,2001,0.0,0.0,0.07,0.010544643954588144,0.0625,0.010000000000000002,0.010000000000000009,0.0,-6.938893903907228e-18,0.0,0.0,0.8007531876072219,0.6818912802316545,0.0,0.0,0.0,0.0,-1,8.30754628374451,16.13,1,0,0,0,0,0,0,0,0,1,low_evidence
103_6496,45,15,103,4001,0.0,0.022222222222222223,0.09,0.01870828693386971,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0.3940148490553548,0.5594267639208497,0.2222222222222222,0.000654761904761906,0.0015833333333333255,0.005233333333333329,-1,7.916184521279708,20.72,1,0,0,0,0,1,0,1,0,1,low_evidence
102_327,17,1,102,3001,0.0,0.0,0.08199999999999999,0.01227743027337753,0.35294117647058826,0.008333333333333331,0.02,0.16666666666666666,-2.3129646346357427e-18,0.0,0.0,2.9410147154405513,0.8077400295012938,0.11764705882352941,0.0,0.0,0.0,-1,7.842310969116417,21.58,1,0,0,0,0,0,0,0,0,1,low_evidence
101_210,128,2,101,3001,0.0078125,0.0,0.11,0.016740955661392002,0.328125,0.006666666666666667,0.015000000000000013,0.19047619047619047,6.60847038467355e-19,1.0,0.0,0.8343999583774486,0.4506734049311514,0.140625,0.005317460317460318,0.005317460317460318,0.0,-1,6.305452139759891,39.59,1,0,0,0,0,1,0,1,0,1,low_evidence
237_6523,29,3,237,3001,0.0,0.0,0.05599999999999998,0.006037648712076858,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.5091175030315274,1.0188627557813983,0.0,0.0032352941176470654,0.0032352941176470654,0.0,-1,5.740312244115291,46.22,1,0,0,0,0,0,0,0,0,1,low_evidence
102_481,15,1,102,3001,0.0,0.0,0.09299999999999999,0.020862360730226463,0.5333333333333333,0.0062499999999999995,0.015,0.0,-8.673617379884035e-19,0.0,0.0,2.19435449464527,0.9592716236044925,0.0,0.0,0.0,0.0,0,4.862382459314881,56.51,0,0,0,0,0,0,0,0,0,1,low_evidence
