日期,线号,行别,里程,设备ID,车速,数据等级,corrected_level,level_is_correct,event_type,event_confidence,event_reason,prior_high_count_3d,prior_device_count_3d,trend_slope_3d,q1_reliability_score,q1_device_status
2024-01-01 05:45:00,3001,上行,3067.776,240_66,92,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,42.21,abnormal
2024-01-01 05:45:00,3001,上行,3067.745,240_66,92,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,42.21,abnormal
2024-01-01 05:45:00,3001,上行,3067.839,240_66,92,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,42.21,abnormal
2024-01-01 05:45:00,3001,上行,3067.615,240_66,92,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,42.21,abnormal
2024-01-01 05:45:00,3001,上行,3067.714,240_66,92,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,42.21,abnormal
2024-01-01 05:45:00,3001,上行,3067.677,240_66,92,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,42.21,abnormal
2024-01-01 05:45:00,3001,上行,3067.808,240_66,92,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,42.21,abnormal
2024-01-01 05:45:00,3001,上行,3067.646,240_66,92,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,42.21,abnormal
2024-01-01 05:46:00,3001,上行,3067.551,240_66,92,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,42.21,abnormal
2024-01-01 05:46:00,3001,上行,3067.454,240_66,91,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,42.21,abnormal
2024-01-01 05:46:00,3001,上行,3067.582,240_66,92,1,3,0,设备或干扰,0.7,仅同设备重复,1,1,0.0,42.21,abnormal
2024-01-01 05:46:00,3001,上行,3067.487,240_66,91,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,42.21,abnormal
2024-01-01 05:46:00,3001,上行,3067.352,240_66,91,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,42.21,abnormal
2024-01-01 06:09:00,3001,上行,3078.776,240_561,113,2,3,0,设备或干扰,0.7,孤立高值,0,0,0.0,62.45,normal
2024-01-01 06:12:00,4001,单线,4049.282,101_1202,118,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,8.28,abnormal
2024-01-01 06:14:00,3001,上行,3098.613,239_909,80,3,3,1,设备或干扰,0.7,孤立高值,0,0,0.0,56.17,normal
2024-01-01 06:27:00,4001,单线,4078.342,101_1202,118,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,8.28,abnormal
2024-01-01 06:28:00,4001,单线,4079.079,101_1202,118,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,8.28,abnormal
2024-01-01 06:32:00,4001,单线,4088.096,101_1202,116,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,8.28,abnormal
2024-01-01 06:36:00,4001,单线,4095.064,101_1202,114,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,8.28,abnormal
2024-01-01 06:50:00,3001,上行,3078.786,240_355,112,2,3,0,设备或干扰,0.7,仅同设备重复,1,1,0.0,91.53,normal
2024-01-01 07:42:00,3001,上行,3067.454,240_351,114,2,3,0,不确定,0.55,"3天窗口复现,仅同设备重复,线路与设备信号冲突",2,1,-1.4367816091954036e-06,90.5,normal
2024-01-01 08:28:00,3001,上行,3067.842,240_271,111,2,3,0,不确定,0.55,"3天窗口复现,仅同设备重复,线路与设备信号冲突",2,1,0.0,99.95,normal
2024-01-01 12:53:00,3001,上行,3080.233,240_58,153,2,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,24.15,abnormal
2024-01-01 12:54:00,3001,上行,3079.015,240_58,154,2,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,24.15,abnormal
2024-01-01 12:54:00,3001,上行,3078.984,240_58,154,2,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,24.15,abnormal
2024-01-01 12:57:00,3001,上行,3070.265,240_58,152,2,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,24.15,abnormal
2024-01-01 12:57:00,3001,上行,3070.094,240_58,152,2,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,24.15,abnormal
2024-01-01 12:57:00,3001,上行,3069.396,240_58,152,2,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,24.15,abnormal
2024-01-01 12:57:00,3001,上行,3069.331,240_58,152,2,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,24.15,abnormal
2024-01-01 12:57:00,3001,上行,3069.299,240_58,152,2,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,24.15,abnormal
2024-01-01 12:57:00,3001,上行,3070.2,240_58,152,1,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,24.15,abnormal
2024-01-01 12:58:00,3001,上行,3067.874,240_58,153,2,3,0,线路问题,0.85,3天窗口复现,2,2,-4.083059774136515e-07,24.15,abnormal
2024-01-01 12:58:00,3001,上行,3067.812,240_58,153,2,3,0,线路问题,0.85,"3天多设备复现,3天窗口复现",4,2,-7.313928348674405e-07,24.15,abnormal
2024-01-01 12:58:00,3001,上行,3067.209,240_58,153,2,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,24.15,abnormal
2024-01-01 12:58:00,3001,上行,3067.517,240_58,153,2,3,0,不确定,0.55,"3天窗口复现,仅同设备重复,线路与设备信号冲突",2,1,-3.858024691358028e-07,24.15,abnormal
2024-01-01 12:58:00,3001,上行,3067.483,240_58,153,1,3,0,线路问题,0.85,"3天多设备复现,3天窗口复现",3,2,-7.586423901101832e-07,24.15,abnormal
2024-01-01 18:39:00,3001,上行,3080.898,240_58,152,2,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,24.15,abnormal
2024-01-01 18:40:00,3001,上行,3080.246,240_58,154,2,3,0,设备或干扰,0.7,仅同设备重复,1,1,0.0,24.15,abnormal
2024-01-01 18:40:00,3001,上行,3080.215,240_58,154,2,3,0,设备或干扰,0.7,仅同设备重复,1,1,0.0,24.15,abnormal
2024-01-01 18:40:00,3001,上行,3078.992,240_58,154,2,3,0,不确定,0.55,"3天窗口复现,仅同设备重复,线路与设备信号冲突",2,1,0.0,24.15,abnormal
2024-01-01 18:40:00,3001,上行,3079.027,240_58,154,2,3,0,不确定,0.55,"3天窗口复现,仅同设备重复,线路与设备信号冲突",2,1,0.0,24.15,abnormal
2024-01-01 18:44:00,3001,上行,3069.381,240_58,152,2,3,0,不确定,0.55,"3天窗口复现,仅同设备重复,线路与设备信号冲突",2,1,-4.803073967339097e-07,24.15,abnormal
2024-01-01 18:44:00,3001,上行,3069.015,240_58,152,2,3,0,设备或干扰,0.85,"孤立高值,设备先验可信度低",0,0,0.0,24.15,abnormal
