日期,线号,行别,里程,设备ID,车速,数据等级,corrected_level,level_is_correct,event_type,event_confidence,event_reason,prior_high_count_3d,prior_device_count_3d,trend_slope_3d,q1_reliability_score,q1_device_status
2024-03-01 02:28:00,4001,单线,4029.918,101_1202,139,3,3,1,设备或干扰,0.7,孤立高值,0,0,0.0,,未知
2024-03-01 02:34:00,4001,单线,4042.933,101_1202,136,3,3,1,线路问题,0.7,"3天窗口复现,3天趋势上升",2,1,3.821902536237344e-08,,未知
2024-03-01 02:46:00,4001,单线,4070.651,101_1202,137,3,3,1,不确定,0.55,"3天窗口复现,仅同设备重复,线路与设备信号冲突",2,1,-6.953135864274793e-08,,未知
2024-03-01 02:46:00,4001,单线,4070.62,101_1202,137,3,3,1,线路问题,0.7,3天窗口复现,1,1,-6.953135864274794e-08,,未知
2024-03-01 02:51:00,4001,单线,4082.607,101_1202,136,3,3,1,设备或干扰,0.7,孤立高值,0,0,0.0,,未知
2024-03-01 02:51:00,4001,单线,4081.536,101_1202,137,3,3,1,设备或干扰,0.7,孤立高值,0,0,0.0,,未知
2024-03-01 02:52:00,4001,单线,4083.908,101_1202,137,3,3,1,设备或干扰,0.7,孤立高值,0,0,0.0,,未知
2024-03-01 02:53:00,4001,单线,4085.734,101_1202,137,3,3,1,设备或干扰,0.7,孤立高值,0,0,0.0,,未知
2024-03-01 02:57:00,4001,单线,4096.639,101_1202,140,3,3,1,设备或干扰,0.7,孤立高值,0,0,0.0,,未知
2024-03-01 06:47:00,3001,上行,3075.824,240_352,114,3,3,1,不确定,0.55,"3天窗口复现,仅同设备重复,线路与设备信号冲突",2,1,-1.0604678701314514e-07,,未知
2024-03-01 06:51:00,3001,上行,3067.514,240_352,115,3,3,1,线路问题,0.85,"3天多设备复现,3天窗口复现",7,3,-4.567635400988909e-08,,未知
2024-03-03 07:05:00,4001,单线,4023.747,101_1202,118,3,3,1,设备或干扰,0.7,孤立高值,0,0,0.0,,未知
2024-03-04 08:26:00,4001,单线,4001.119,101_1227,53,3,3,1,设备或干扰,0.7,孤立高值,0,0,0.0,,未知
2024-03-04 08:26:00,4001,单线,4001.196,101_1227,55,3,3,1,设备或干扰,0.7,孤立高值,0,0,0.0,,未知
2024-03-04 08:26:00,4001,单线,4001.157,101_1227,54,3,3,1,设备或干扰,0.7,孤立高值,0,0,0.0,,未知
2024-03-05 02:27:00,4001,单线,4026.281,101_1296,136,3,3,1,设备或干扰,0.7,孤立高值,0,0,0.0,,未知
2024-03-06 08:21:00,3001,上行,3067.475,240_349,114,3,2,0,设备或干扰,0.9,原始高等级但修正后低于3级,0,0,0.0,,未知
2024-03-07 14:34:00,4001,单线,4023.709,101_1202,116,3,3,1,设备或干扰,0.7,孤立高值,0,0,0.0,,未知
2024-03-07 22:48:00,3001,上行,3040.497,239_8718,60,3,3,1,设备或干扰,0.7,孤立高值,0,0,0.0,,未知
