车型,speed_bin,样本量,垂加_t1,垂加_t2,垂加_t3,垂加_t4,水加_t1,水加_t2,水加_t3,水加_t4
101,100-120,10456,0.06,0.095,0.14,0.3325,0.05,0.095,0.115,0.35000000000000003
101,120-140,9000,0.05500000000000001,0.10500000000000001,0.14250000000000002,0.3325,0.045,0.10500000000000001,0.125,0.385
101,140-200,203,0.04774999999999999,0.10250000000000001,0.14250000000000002,0.3325,0.04,0.08750000000000001,0.125,0.35000000000000003
101,40-60,532,0.045,0.09,0.16999999999999998,0.25,0.03,0.1,0.125,0.35000000000000003
101,60-80,3902,0.05500000000000001,0.08499999999999999,0.155,0.445,0.035750000000000004,0.07,0.20500000000000002,0.41000000000000003
101,80-100,6145,0.065,0.09,0.135,0.3325,0.045,0.085,0.125,0.35000000000000003
102,40-60,2012,0.035,0.08499999999999999,0.15,0.22,0.04,0.0775,0.10250000000000001,0.23
102,60-80,13215,0.035,0.08499999999999999,0.15,0.22,0.035,0.06,0.1,0.23
102,80-100,5237,0.035,0.0805,0.15,0.22,0.035,0.065,0.10250000000000001,0.23
103,40-60,139,0.05,0.105,0.165,0.22,0.03,0.060000000000000005,0.1,0.23
103,60-80,10047,0.055,0.11499999999999999,0.165,0.22,0.035,0.06,0.1,0.23
103,80-100,34,0.055,0.105,0.16,0.22,0.035,0.060000000000000005,0.1,0.23
104,40-60,15,0.04,0.085,0.15000000000000002,0.22,0.0375,0.065,0.095,0.23
104,60-80,879,0.05,0.085,0.15000000000000002,0.22,0.04,0.07500000000000001,0.095,0.23
104,80-100,1,0.05,0.085,0.15000000000000002,0.22,0.04,0.065,0.095,0.23
105,100-120,40282,0.035,0.07500000000000001,0.15000000000000002,0.22,0.035,0.07,0.095,0.23
105,120-140,8922,0.035,0.07500000000000001,0.15000000000000002,0.22,0.035,0.07,0.095,0.23
105,140-200,68359,0.035,0.07500000000000001,0.15000000000000002,0.22,0.035,0.07500000000000001,0.095,0.23
105,40-60,23,0.035,0.07500000000000001,0.15000000000000002,0.22,0.0325,0.07500000000000001,0.095,0.23
105,60-80,123,0.04,0.07500000000000001,0.15000000000000002,0.22,0.035,0.07500000000000001,0.095,0.23
105,80-100,505,0.04,0.065,0.15000000000000002,0.22,0.035,0.07500000000000001,0.095,0.23
231,40-60,67,0.03,0.075,0.15000000000000002,0.22,0.03,0.07,0.095,0.23
231,60-80,80,0.03,0.075,0.15000000000000002,0.22,0.03,0.07,0.095,0.23
231,80-100,120,0.035,0.075,0.15000000000000002,0.22,0.03,0.07,0.095,0.23
237,100-120,838,0.035,0.07500000000000001,0.15000000000000002,0.22,0.035,0.08499999999999999,0.095,0.23
237,40-60,3321,0.04,0.07,0.15000000000000002,0.22,0.035,0.07,0.095,0.23
237,60-80,6311,0.035,0.095,0.15000000000000002,0.22,0.035,0.07,0.095,0.23
237,80-100,5181,0.035,0.085,0.15000000000000002,0.22,0.035,0.07,0.095,0.23
239,100-120,2332,0.05,0.08,0.13,0.22,0.05,0.08,0.1375,0.2575
239,40-60,4800,0.05,0.08,0.1275,0.22,0.035,0.08,0.15,0.275
239,60-80,12010,0.055,0.08,0.13,0.22,0.035,0.07,0.14,0.2525
239,80-100,12444,0.05,0.08,0.14,0.22,0.05,0.08,0.13,0.25
240,100-120,56445,0.035,0.07,0.08750000000000001,0.22,0.03,0.065,0.08499999999999999,0.23
240,120-140,904,0.035,0.065,0.085,0.22,0.03,0.07,0.07500000000000001,0.23
240,140-200,2158,0.035,0.07,0.085,0.22,0.03,0.07,0.08,0.23
240,40-60,2624,0.04,0.060000000000000005,0.085,0.22,0.025,0.065,0.08,0.23
240,60-80,15705,0.045,0.085,0.085,0.22,0.03,0.055,0.08499999999999999,0.23
240,80-100,10782,0.04,0.07,0.085,0.22,0.03,0.06,0.08,0.23
248,100-120,425,0.035,0.05500000000000001,0.15000000000000002,0.22,0.045,0.095,0.095,0.23
248,120-140,865,0.035,0.065,0.15000000000000002,0.22,0.055,0.085,0.095,0.23
248,140-200,16643,0.035,0.065,0.15000000000000002,0.22,0.055,0.095,0.095,0.23
248,40-60,18,0.035,0.065,0.15000000000000002,0.22,0.045,0.095,0.095,0.23
248,60-80,630,0.035,0.05500000000000001,0.15000000000000002,0.22,0.055,0.095,0.095,0.23
248,80-100,1280,0.035,0.065,0.15000000000000002,0.22,0.055,0.095,0.095,0.23
249,100-120,760,0.04,0.05500000000000001,0.15000000000000002,0.22,0.035,0.075,0.095,0.23
249,120-140,2813,0.04,0.065,0.15000000000000002,0.22,0.045,0.075,0.095,0.23
249,140-200,25497,0.04,0.065,0.15000000000000002,0.22,0.04,0.075,0.095,0.23
249,40-60,63,0.035,0.065,0.15000000000000002,0.22,0.03,0.075,0.095,0.23
249,60-80,2174,0.04,0.05500000000000001,0.15000000000000002,0.22,0.04,0.075,0.095,0.23
249,80-100,2007,0.04,0.05500000000000001,0.15000000000000002,0.22,0.035,0.075,0.095,0.23
